Full,Name,Nvel,Type,Dist_Mpc,f_,i_deg,L3.6_GLsun,Reff_kpc,SBeff_Lsun/pc2,Rdisk_kpc,SBdisk_Lsun/pc2,MHI_GMsun,RHI_kpc,Vflat_km/s,Qual,L16a,L16b,S4G,EDD,RC,SimbadName,NEDname,_RA_deg,_DE_deg
28,F583-1,25,9,35.4,1,63.0,0.986,3.74,11.19,2.36,60.93,2.126,15.65,85.8,1,1,1,0,0,RC,LSB F583-1,LSB F583-1,239.36451,20.66642
29,F583-4,12,5,53.3,1,55.0,1.715,3.31,24.94,1.93,83.34,0.641,7.8,0.0,1,0,1,0,0,RC,LSB F583-4,LSB F583-4,238.05,18.785
30,IC2574,34,9,3.91,2,75.0,1.016,3.18,15.88,2.78,80.32,1.036,10.81,66.4,2,1,1,1,1,RC,IC2574,IC2574,157.09784,68.41214
32,KK98-251,15,10,6.8,1,59.0,0.085,1.28,7.89,1.34,52.1,0.115,2.9,33.7,2,1,1,0,0,RC,[KK98a] 251,[KK98a] 251,307.63708,60.35472
33,NGC0024,29,5,7.3,2,64.0,3.889,2.01,151.65,1.34,1182.58,0.676,7.29,106.3,1,1,1,1,0,RC,NGC0024,NGC0024,2.48559,-24.96313
34,NGC0055,21,9,2.11,2,77.0,4.628,3.67,54.55,6.11,391.59,1.565,10.24,85.6,2,1,1,1,0,RC,NGC0055,NGC0055,3.72334,-39.19663
36,NGC0247,26,7,3.7,2,74.0,7.332,5.87,33.79,3.74,506.79,1.746,12.79,104.9,2,1,1,1,0,RC,NGC0247,NGC0247,11.78564,-20.7604
37,NGC0289,28,4,20.8,1,46.0,72.065,2.69,1587.93,6.74,69.96,27.469,49.51,163.0,2,1,1,1,0,RC,NGC0289,NGC0289,13.17652,-31.20583
38,NGC0300,25,7,2.08,2,42.0,2.922,1.77,147.51,1.75,437.35,0.936,9.2,93.3,2,1,1,1,0,RC,NGC0300,NGC0300,13.72283,-37.68438
41,NGC1003,36,6,11.4,1,67.0,6.82,2.76,140.87,1.61,1345.33,5.88,33.33,109.8,1,1,1,0,0,RC,NGC1003,NGC1003,39.82039,40.87229
42,NGC1090,24,4,37.0,1,64.0,72.045,6.36,283.68,3.53,2055.09,8.783,30.49,164.4,1,1,1,1,0,RC,NGC1090,NGC1090,41.64132,-0.24704
44,NGC2366,26,10,3.27,2,68.0,0.236,1.08,31.98,0.65,113.98,0.647,6.94,50.2,3,0,0,0,1,RC,NGC2366,NGC2366,112.21604,69.20864
